Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Botosani, 35731 MUNICIPIUL BOTOSANI, Anul 2024, Numar, 3
Spitale, Proprietate publica, Botosani, 36006 MUNICIPIUL DOROHOI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Botosani, 35731 MUNICIPIUL BOTOSANI, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Botosani, 35731 MUNICIPIUL BOTOSANI, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Botosani, 35759 CURTESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Botosani, 35731 MUNICIPIUL BOTOSANI, Anul 2024, Numar, 3
Ambulatorii integrate spitalului, Proprietate publica, Botosani, 36006 MUNICIPIUL DOROHOI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Botosani, 35731 MUNICIPIUL BOTOSANI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Botosani, 36006 MUNICIPIUL DOROHOI, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Botosani, 35731 MUNICIPIUL BOTOSANI, Anul 2024, Numar, 2
Centre de sanatate mintala, Proprietate publica, Botosani, 36006 MUNICIPIUL DOROHOI, Anul 2024, Numar, 0
Sanatorii balneare, Proprietate publica, Botosani, 37173 DRAGUSENI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Botosani, 37280 ORAS FLAMANZI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Botosani, 36060 ORAS SAVENI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Botosani, 39168 ORAS STEFANESTI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Botosani, 38161 MIHAILENI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Botosani, 38982 SUHARAU, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Botosani, 39051 SULITA, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Botosani, 39694 VARFU CAMPULUI, Anul 2024, Numar, 1
Centre de diagnostic si tratament, Proprietate privata, Botosani, 35731 MUNICIPIUL BOTOSANI, Anul 2024, Numar, 2
