Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Caras-Severin, 51010 MUNICIPIUL CARANSEBES, Anul 2024, Numar, 1
Spitale, Proprietate publica, Caras-Severin, 51056 ORAS MOLDOVA NOUA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Caras-Severin, 51118 ORAS ORAVITA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Caras-Severin, 51207 ORAS OTELU ROSU, Anul 2024, Numar, 1
Spitale, Proprietate privata, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Caras-Severin, 51010 MUNICIPIUL CARANSEBES, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Caras-Severin, 51056 ORAS MOLDOVA NOUA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Caras-Severin, 51118 ORAS ORAVITA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Caras-Severin, 51207 ORAS OTELU ROSU, Anul 2024, Numar, 1
Policlinici, Proprietate privata, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 2
Dispensare medicale, Proprietate publica, Caras-Severin, 51010 MUNICIPIUL CARANSEBES, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Caras-Severin, 51056 ORAS MOLDOVA NOUA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Caras-Severin, 51118 ORAS ORAVITA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Caras-Severin, 51207 ORAS OTELU ROSU, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 1
Centre de sanatate multifunctionale, Proprietate publica, Caras-Severin, 51573 BOZOVICI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 1
Centre de dializa, Proprietate publica, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 13
Cabinete medicale scolare, Proprietate publica, Caras-Severin, 51010 MUNICIPIUL CARANSEBES, Anul 2024, Numar, 3
Cabinete medicale studentesti, Proprietate publica, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2024, Numar, 34
Cabinete medicale de familie, Proprietate privata, Caras-Severin, 51010 MUNICIPIUL CARANSEBES, Anul 2024, Numar, 16
Cabinete medicale de familie, Proprietate privata, Caras-Severin, 50889 ORAS ANINA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Caras-Severin, 50923 ORAS BAILE HERCULANE, Anul 2024, Numar, 3
