Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 1
Spitale, Proprietate publica, Dambovita, 65841 MUNICIPIUL MORENI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Dambovita, 65681 ORAS GAESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Dambovita, 65921 ORAS PUCIOASA, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Dambovita, 65841 MUNICIPIUL MORENI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Dambovita, 65681 ORAS GAESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Dambovita, 65921 ORAS PUCIOASA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Dambovita, 65841 MUNICIPIUL MORENI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Dambovita, 65681 ORAS GAESTI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Dambovita, 65921 ORAS PUCIOASA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Dambovita, 66081 ORAS TITU, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 1
Centre de sanatate multifunctionale, Proprietate publica, Dambovita, 66081 ORAS TITU, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Dambovita, 68627 ORAS RACARI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Dambovita, 66474 BUCSANI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Dambovita, 104387 NICULESTI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 15
Centre medicale de specialitate, Proprietate privata, Dambovita, 65841 MUNICIPIUL MORENI, Anul 2024, Numar, 2
Centre medicale de specialitate, Proprietate privata, Dambovita, 65609 ORAS FIENI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Dambovita, 65681 ORAS GAESTI, Anul 2024, Numar, 2
Centre medicale de specialitate, Proprietate privata, Dambovita, 65921 ORAS PUCIOASA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Dambovita, 66009 BRANESTI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Dambovita, 67256 DARMANESTI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Dambovita, 69526 VOINESTI, Anul 2024, Numar, 2
Puncte de lucru ale centrelor de dializa, Proprietate privata, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate publica, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate publica, Dambovita, 67737 I. L. CARAGIALE, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 7
Cabinete medicale de medicina generala, Proprietate privata, Dambovita, 66081 ORAS TITU, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dambovita, 65379 ANINOASA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dambovita, 66768 CONTESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dambovita, 69170 VALEA MARE, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 57
Cabinete medicale studentesti, Proprietate publica, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2024, Numar, 45
Cabinete medicale de familie, Proprietate privata, Dambovita, 65841 MUNICIPIUL MORENI, Anul 2024, Numar, 9
Cabinete medicale de familie, Proprietate privata, Dambovita, 65609 ORAS FIENI, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Dambovita, 65681 ORAS GAESTI, Anul 2024, Numar, 8
Cabinete medicale de familie, Proprietate privata, Dambovita, 65921 ORAS PUCIOASA, Anul 2024, Numar, 9
Cabinete medicale de familie, Proprietate privata, Dambovita, 68627 ORAS RACARI, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Dambovita, 66081 ORAS TITU, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Dambovita, 65379 ANINOASA, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Dambovita, 66198 BALENI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Dambovita, 66223 BARBULETU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Dambovita, 66330 BEZDEAD, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Dambovita, 66401 BILCIURESTI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Dambovita, 66009 BRANESTI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Dambovita, 66152 BRANISTEA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Dambovita, 101341 BREZOAELE, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Dambovita, 66438 BUCIUMENI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Dambovita, 66474 BUCSANI, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Dambovita, 101564 BUTIMANU, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Dambovita, 66526 CANDESTI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Dambovita, 101840 CIOCANESTI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Dambovita, 66580 COBIA, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Dambovita, 66697 COJASCA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Dambovita, 66731 COMISANI, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Dambovita, 66768 CONTESTI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Dambovita, 66857 CORBII MARI, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Dambovita, 66955 CORNATELU, Anul 2024, Numar, 1
