Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 6
Spitale, Proprietate publica, Dolj, 70316 MUNICIPIUL BAILESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Dolj, 70352 MUNICIPIUL CALAFAT, Anul 2024, Numar, 1
Spitale, Proprietate publica, Dolj, 72007 ORAS DABULENI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Dolj, 70414 ORAS FILIASI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Dolj, 70502 ORAS SEGARCEA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Dolj, 69964 BUCOVAT, Anul 2024, Numar, 1
Spitale, Proprietate publica, Dolj, 73736 POIANA MARE, Anul 2024, Numar, 1
Spitale, Proprietate privata, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 15
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 18
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Dolj, 73371 MURGASI, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 4
Ambulatorii de specialitate, Proprietate privata, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 9
Ambulatorii integrate spitalului, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 6
Ambulatorii integrate spitalului, Proprietate publica, Dolj, 70316 MUNICIPIUL BAILESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Dolj, 70352 MUNICIPIUL CALAFAT, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Dolj, 72007 ORAS DABULENI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Dolj, 70414 ORAS FILIASI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Dolj, 70502 ORAS SEGARCEA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Dolj, 69964 BUCOVAT, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Dolj, 73736 POIANA MARE, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate privata, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate privata, Dolj, 70316 MUNICIPIUL BAILESTI, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Dolj, 70352 MUNICIPIUL CALAFAT, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Dolj, 72007 ORAS DABULENI, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Dolj, 70414 ORAS FILIASI, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Dolj, 70502 ORAS SEGARCEA, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Dolj, 69964 BUCOVAT, Anul 2024, Numar, 0
Policlinici, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 0
Policlinici, Proprietate privata, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 24
Dispensare medicale, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Dolj, 70316 MUNICIPIUL BAILESTI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Dolj, 70352 MUNICIPIUL CALAFAT, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Dolj, 70879 ORAS BECHET, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Dolj, 70414 ORAS FILIASI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Dolj, 70502 ORAS SEGARCEA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate privata, Dolj, 70316 MUNICIPIUL BAILESTI, Anul 2024, Numar, 0
Dispensare medicale, Proprietate privata, Dolj, 70352 MUNICIPIUL CALAFAT, Anul 2024, Numar, 0
Dispensare medicale, Proprietate privata, Dolj, 70879 ORAS BECHET, Anul 2024, Numar, 0
Dispensare medicale, Proprietate privata, Dolj, 70414 ORAS FILIASI, Anul 2024, Numar, 0
Dispensare medicale, Proprietate privata, Dolj, 70502 ORAS SEGARCEA, Anul 2024, Numar, 0
Centre de sanatate mintala, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 2
Centre de sanatate mintala, Proprietate publica, Dolj, 72007 ORAS DABULENI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Dolj, 70879 ORAS BECHET, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Dolj, 70637 AMARASTII DE JOS, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Dolj, 70986 BRABOVA, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Dolj, 71787 CETATE, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Dolj, 73102 MELINESTI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Dolj, 73709 PLENITA, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Dolj, 73996 SADOVA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 0
Centre de dializa, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 70316 MUNICIPIUL BAILESTI, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 70352 MUNICIPIUL CALAFAT, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 72007 ORAS DABULENI, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 70637 AMARASTII DE JOS, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 70726 APELE VII, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 70744 ARGETOAIA, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 71518 CARAULA, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 71572 CASTRANOVA, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 71634 CELARU, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 72052 DIOSTI, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 72098 DOBRESTI, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 74883 DOBROTESTI, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 72221 DRANIC, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 72463 GIGHERA, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 70094 ISALNITA, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 73031 MAGLAVIT, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 73068 MALU MARE, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 73335 MOTATEI, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Dolj, 74242 SOPOT, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 41
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 70316 MUNICIPIUL BAILESTI, Anul 2024, Numar, 3
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 70352 MUNICIPIUL CALAFAT, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 72007 ORAS DABULENI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 70637 AMARASTII DE JOS, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 70726 APELE VII, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 70744 ARGETOAIA, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 71518 CARAULA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 71572 CASTRANOVA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 71634 CELARU, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 72052 DIOSTI, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 72098 DOBRESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 74883 DOBROTESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 72221 DRANIC, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 72463 GIGHERA, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 70094 ISALNITA, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 73031 MAGLAVIT, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 73068 MALU MARE, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 73335 MOTATEI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 73567 OSTROVENI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Dolj, 74242 SOPOT, Anul 2024, Numar, 0
Cabinete medicale scolare, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 86
Cabinete medicale studentesti, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate publica, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate publica, Dolj, 70316 MUNICIPIUL BAILESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70352 MUNICIPIUL CALAFAT, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70879 ORAS BECHET, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72007 ORAS DABULENI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70414 ORAS FILIASI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70502 ORAS SEGARCEA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70566 ALMAJ, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70637 AMARASTII DE JOS, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70673 AMARASTII DE SUS, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70726 APELE VII, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70744 ARGETOAIA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70940 BARCA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70897 BISTRET, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70968 BOTOSESTI-PAIA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70986 BRABOVA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71055 BRADESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71126 BRALOSTITA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71199 BRATOVOESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71260 BREASTA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 69964 BUCOVAT, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71340 BULZESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71607 CALARASI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71457 CALOPAR, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71518 CARAULA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74859 CARCEA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74867 CARNA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71536 CARPEN, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71572 CASTRANOVA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74842 CATANE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71634 CELARU, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71698 CERAT, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71723 CERNATESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71787 CETATE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71812 CIOROIASI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71858 CIUPERCENII NOI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71885 COSOVENI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71910 COTOFENII DIN DOS, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74875 COTOFENII DIN FATA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 71956 DANETI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72034 DESA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72052 DIOSTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72098 DOBRESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74883 DOBROTESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72150 DRAGOTESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72221 DRANIC, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72276 FARCAS, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72383 GALICEA MARE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74891 GALICIUICA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72579 GANGIOVA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72409 GHERCESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74907 GHIDICI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74915 GHINDENI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72463 GIGHERA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72506 GIUBEGA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72533 GIURGITA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72604 GOGOSU, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72640 GOICEA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72677 GOIESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72819 GRECESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70094 ISALNITA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72882 IZVOARE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72926 LEU, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 72953 LIPOVU, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73013 MACESU DE SUS, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73031 MAGLAVIT, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73068 MALU MARE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73317 MARSANI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73102 MELINESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73246 MISCHII, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73335 MOTATEI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73371 MURGASI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73460 NEGOI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73503 ORODEL, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73594 PERISOR, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73629 PIELESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73665 PISCU VECHI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73709 PLENITA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74931 PLESOI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70110 PODARI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73736 POIANA MARE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73772 PREDESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73852 RADOVAN, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73905 RAST, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73923 ROBANESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74949 ROJISTE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 73996 SADOVA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74028 SALCUTA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74073 SCAESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74135 SEACA DE PADURE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74171 SECU, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74224 SILISTEA CRUCII, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 70174 SIMNICU DE SUS, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74242 SOPOT, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74956 TALPAS, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74322 TEASC, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Dolj, 74359 TERPEZITA, Anul 2024, Numar, 0
