Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 1
Spitale, Proprietate publica, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 1
Spitale, Proprietate publica, Giurgiu, 105972 VANATORII MICI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Giurgiu, 105623 ULMI, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Giurgiu, 105623 ULMI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Giurgiu, 100781 ADUNATII-COPACENI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Giurgiu, 100781 ADUNATII-COPACENI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate publica, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 18
Cabinete medicale scolare, Proprietate publica, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 22
Cabinete medicale de familie, Proprietate privata, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Giurgiu, 104136 ORAS MIHAILESTI, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Giurgiu, 100781 ADUNATII-COPACENI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 101001 BANEASA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 101163 BOLINTIN-DEAL, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Giurgiu, 101378 BUCSANI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 101617 BUTURUGENI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 101662 CALUGARENI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 102106 COMANA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Giurgiu, 102348 CREVEDIA MARE, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Giurgiu, 102446 DAIA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 102909 FRATESTI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Giurgiu, 103238 GHIMPATI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 103372 GOSTINARI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 103407 GRADINARI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 103470 GREACA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 103639 HOTARELE, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Giurgiu, 103899 IZVOARELE, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 103997 JOITA, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Giurgiu, 104047 LETCA NOUA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 179739 MALU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 104225 MARSA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 104485 OGREZENI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 104519 OINACU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 104680 PRUNDU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 104715 PUTINEIU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 104831 ROATA DE JOS, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Giurgiu, 105106 SINGURENI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 100549 SLOBOZIA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 154709 TOPORU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Giurgiu, 105623 ULMI, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Giurgiu, 105874 VARASTI, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 7
Societate medicala civila, Proprietate privata, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 2
Societate medicala civila, Proprietate privata, Giurgiu, 100781 ADUNATII-COPACENI, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 101001 BANEASA, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 101163 BOLINTIN-DEAL, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 101662 CALUGARENI, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 101984 CLEJANI, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 102071 COLIBASI, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 102794 FLORESTI-STOENESTI, Anul 2024, Numar, 3
Societate medicala civila, Proprietate privata, Giurgiu, 103087 GAISENI, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 103238 GHIMPATI, Anul 2024, Numar, 2
Societate medicala civila, Proprietate privata, Giurgiu, 103639 HOTARELE, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 103899 IZVOARELE, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 103997 JOITA, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 104118 MIHAI BRAVU, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 104485 OGREZENI, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 105348 STOENESTI, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 105776 VALEA DRAGULUI, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 105972 VANATORII MICI, Anul 2024, Numar, 1
Societate medicala civila, Proprietate privata, Giurgiu, 105874 VARASTI, Anul 2024, Numar, 2
Societate medicala civila, Proprietate privata, Giurgiu, 105909 VEDEA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate publica, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 18
Cabinete stomatologice, Proprietate privata, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 2
Cabinete stomatologice, Proprietate privata, Giurgiu, 100781 ADUNATII-COPACENI, Anul 2024, Numar, 3
Cabinete stomatologice, Proprietate privata, Giurgiu, 101001 BANEASA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 101163 BOLINTIN-DEAL, Anul 2024, Numar, 3
Cabinete stomatologice, Proprietate privata, Giurgiu, 101519 BULBUCATA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 101617 BUTURUGENI, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 101662 CALUGARENI, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 102071 COLIBASI, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 102106 COMANA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 102348 CREVEDIA MARE, Anul 2024, Numar, 2
Cabinete stomatologice, Proprietate privata, Giurgiu, 102446 DAIA, Anul 2024, Numar, 3
Cabinete stomatologice, Proprietate privata, Giurgiu, 102794 FLORESTI-STOENESTI, Anul 2024, Numar, 3
Cabinete stomatologice, Proprietate privata, Giurgiu, 103087 GAISENI, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 103372 GOSTINARI, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 103470 GREACA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 103639 HOTARELE, Anul 2024, Numar, 2
Cabinete stomatologice, Proprietate privata, Giurgiu, 103693 IEPURESTI, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 103997 JOITA, Anul 2024, Numar, 2
Cabinete stomatologice, Proprietate privata, Giurgiu, 104485 OGREZENI, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 104519 OINACU, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 104680 PRUNDU, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 100549 SLOBOZIA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 105623 ULMI, Anul 2024, Numar, 4
Cabinete stomatologice, Proprietate privata, Giurgiu, 105776 VALEA DRAGULUI, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Giurgiu, 105874 VARASTI, Anul 2024, Numar, 3
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 7
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 7
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 104136 ORAS MIHAILESTI, Anul 2024, Numar, 3
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 101163 BOLINTIN-DEAL, Anul 2024, Numar, 2
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 101662 CALUGARENI, Anul 2024, Numar, 2
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 102071 COLIBASI, Anul 2024, Numar, 1
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 102348 CREVEDIA MARE, Anul 2024, Numar, 2
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 102794 FLORESTI-STOENESTI, Anul 2024, Numar, 3
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 103354 GOSTINU, Anul 2024, Numar, 1
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 103407 GRADINARI, Anul 2024, Numar, 1
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 103639 HOTARELE, Anul 2024, Numar, 1
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 103899 IZVOARELE, Anul 2024, Numar, 1
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 103997 JOITA, Anul 2024, Numar, 1
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 104225 MARSA, Anul 2024, Numar, 1
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 104680 PRUNDU, Anul 2024, Numar, 1
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 104831 ROATA DE JOS, Anul 2024, Numar, 3
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 179775 SABARENI, Anul 2024, Numar, 1
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 105972 VANATORII MICI, Anul 2024, Numar, 1
Societate stomatologica civila medicala, Proprietate privata, Giurgiu, 105874 VARASTI, Anul 2024, Numar, 1
Cabinete medicale de specialitate, Proprietate privata, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 32
Cabinete medicale de specialitate, Proprietate privata, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 2
Cabinete medicale de specialitate, Proprietate privata, Giurgiu, 104136 ORAS MIHAILESTI, Anul 2024, Numar, 1
Societate civila medicala de specialitate, Proprietate privata, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 21
Societate civila medicala de specialitate, Proprietate privata, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 2
Societate civila medicala de specialitate, Proprietate privata, Giurgiu, 101163 BOLINTIN-DEAL, Anul 2024, Numar, 1
Societate civila medicala de specialitate, Proprietate privata, Giurgiu, 103238 GHIMPATI, Anul 2024, Numar, 2
Societate civila medicala de specialitate, Proprietate privata, Giurgiu, 103997 JOITA, Anul 2024, Numar, 2
Societate civila medicala de specialitate, Proprietate privata, Giurgiu, 104831 ROATA DE JOS, Anul 2024, Numar, 1
Societate civila medicala de specialitate, Proprietate privata, Giurgiu, 105623 ULMI, Anul 2024, Numar, 1
Farmacii, Proprietate publica, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 1
Farmacii, Proprietate publica, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 1
Farmacii, Proprietate publica, Giurgiu, 105972 VANATORII MICI, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2024, Numar, 25
Farmacii, Proprietate privata, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2024, Numar, 3
