Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Ialomita, 92658 MUNICIPIUL SLOBOZIA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Ialomita, 92701 MUNICIPIUL FETESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Ialomita, 100683 MUNICIPIUL URZICENI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Ialomita, 92765 ORAS TANDAREI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Ialomita, 92658 MUNICIPIUL SLOBOZIA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Ialomita, 92701 MUNICIPIUL FETESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Ialomita, 100683 MUNICIPIUL URZICENI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Ialomita, 92765 ORAS TANDAREI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Ialomita, 92658 MUNICIPIUL SLOBOZIA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Ialomita, 92701 MUNICIPIUL FETESTI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Ialomita, 100683 MUNICIPIUL URZICENI, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Ialomita, 92658 MUNICIPIUL SLOBOZIA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Ialomita, 92658 MUNICIPIUL SLOBOZIA, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Ialomita, 92658 MUNICIPIUL SLOBOZIA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate publica, Ialomita, 92658 MUNICIPIUL SLOBOZIA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Ialomita, 100683 MUNICIPIUL URZICENI, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Ialomita, 92658 MUNICIPIUL SLOBOZIA, Anul 2024, Numar, 4
Cabinete medicale scolare, Proprietate publica, Ialomita, 92701 MUNICIPIUL FETESTI, Anul 2024, Numar, 2
Cabinete medicale scolare, Proprietate publica, Ialomita, 100683 MUNICIPIUL URZICENI, Anul 2024, Numar, 5
