Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 14
Spitale, Proprietate publica, Iasi, 95391 MUNICIPIUL PASCANI, Anul 2024, Numar, 2
Spitale, Proprietate publica, Iasi, 95355 ORAS HARLAU, Anul 2024, Numar, 1
Spitale, Proprietate publica, Iasi, 95471 ORAS TARGU FRUMOS, Anul 2024, Numar, 1
Spitale, Proprietate publica, Iasi, 97241 GRAJDURI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 8
Spitale, Proprietate privata, Iasi, 95747 ARONEANU, Anul 2024, Numar, 1
Spitale, Proprietate privata, Iasi, 95088 BARNOVA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Iasi, 100353 VALEA LUPULUI, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 13
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Iasi, 95391 MUNICIPIUL PASCANI, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 2
Ambulatorii de specialitate, Proprietate publica, Iasi, 95391 MUNICIPIUL PASCANI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate privata, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 4
Ambulatorii de specialitate, Proprietate privata, Iasi, 95088 BARNOVA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 15
Ambulatorii integrate spitalului, Proprietate publica, Iasi, 95391 MUNICIPIUL PASCANI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Iasi, 95355 ORAS HARLAU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Iasi, 95471 ORAS TARGU FRUMOS, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 2
Dispensare medicale, Proprietate publica, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 2
Dispensare medicale, Proprietate publica, Iasi, 95391 MUNICIPIUL PASCANI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Iasi, 95355 ORAS HARLAU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate privata, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 0
Centre de sanatate mintala, Proprietate publica, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 3
Preventorii, Proprietate publica, Iasi, 96815 DELENI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Iasi, 98373 ORAS PODU ILOAIEI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Iasi, 95943 BIVOLARI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Iasi, 98685 RADUCANENI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 1
Centre de dializa, Proprietate privata, Iasi, 95239 REDIU, Anul 2024, Numar, 1
Centre de dializa, Proprietate privata, Iasi, 100353 VALEA LUPULUI, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 2
Cabinete medicale scolare, Proprietate publica, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 88
Cabinete medicale scolare, Proprietate publica, Iasi, 95391 MUNICIPIUL PASCANI, Anul 2024, Numar, 2
Cabinete medicale scolare, Proprietate publica, Iasi, 95471 ORAS TARGU FRUMOS, Anul 2024, Numar, 3
Cabinete medicale studentesti, Proprietate publica, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 6
Cabinete medicale de familie, Proprietate publica, Iasi, 95060 MUNICIPIUL IASI, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate publica, Iasi, 95391 MUNICIPIUL PASCANI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Iasi, 98373 ORAS PODU ILOAIEI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Iasi, 95471 ORAS TARGU FRUMOS, Anul 2024, Numar, 0
