Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Maramures, 106318 MUNICIPIUL BAIA MARE, Anul 2024, Numar, 3
Spitale, Proprietate publica, Maramures, 106559 MUNICIPIUL SIGHETU MARMATIEI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Maramures, 106746 ORAS BORSA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Maramures, 106782 ORAS CAVNIC, Anul 2024, Numar, 1
Spitale, Proprietate publica, Maramures, 106817 ORAS TARGU LAPUS, Anul 2024, Numar, 1
Spitale, Proprietate publica, Maramures, 106979 ORAS VISEU DE SUS, Anul 2024, Numar, 1
Spitale, Proprietate publica, Maramures, 108473 POIENILE DE SUB MUNTE, Anul 2024, Numar, 1
Spitale, Proprietate privata, Maramures, 106318 MUNICIPIUL BAIA MARE, Anul 2024, Numar, 5
Spitale, Proprietate privata, Maramures, 179846 COLTAU, Anul 2024, Numar, 1
Spitale, Proprietate privata, Maramures, 109504 VISEU DE JOS, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Maramures, 106318 MUNICIPIUL BAIA MARE, Anul 2024, Numar, 2
Ambulatorii de specialitate, Proprietate publica, Maramures, 106318 MUNICIPIUL BAIA MARE, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Maramures, 106318 MUNICIPIUL BAIA MARE, Anul 2024, Numar, 3
Ambulatorii integrate spitalului, Proprietate publica, Maramures, 106318 MUNICIPIUL BAIA MARE, Anul 2024, Numar, 3
Ambulatorii integrate spitalului, Proprietate publica, Maramures, 106559 MUNICIPIUL SIGHETU MARMATIEI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Maramures, 106746 ORAS BORSA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Maramures, 106782 ORAS CAVNIC, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Maramures, 106817 ORAS TARGU LAPUS, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Maramures, 106979 ORAS VISEU DE SUS, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Maramures, 106318 MUNICIPIUL BAIA MARE, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Maramures, 106782 ORAS CAVNIC, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Maramures, 106979 ORAS VISEU DE SUS, Anul 2024, Numar, 0
Dispensare medicale, Proprietate publica, Maramures, 106318 MUNICIPIUL BAIA MARE, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Maramures, 106559 MUNICIPIUL SIGHETU MARMATIEI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Maramures, 106746 ORAS BORSA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Maramures, 106817 ORAS TARGU LAPUS, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Maramures, 106979 ORAS VISEU DE SUS, Anul 2024, Numar, 1
Dispensare medicale, Proprietate privata, Maramures, 106979 ORAS VISEU DE SUS, Anul 2024, Numar, 0
Centre de sanatate mintala, Proprietate publica, Maramures, 106318 MUNICIPIUL BAIA MARE, Anul 2024, Numar, 2
Unitati medico-sociale, Proprietate publica, Maramures, 108017 ORAS DRAGOMIRESTI, Anul 2024, Numar, 1
