Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 3
Spitale, Proprietate publica, Mures, 114809 MUNICIPIUL REGHIN, Anul 2024, Numar, 1
Spitale, Proprietate publica, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Mures, 114710 ORAS LUDUS, Anul 2024, Numar, 1
Spitale, Proprietate publica, Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2024, Numar, 1
Spitale, Proprietate publica, Mures, 114854 ORAS SOVATA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 6
Spitale, Proprietate privata, Mures, 114809 MUNICIPIUL REGHIN, Anul 2024, Numar, 2
Spitale, Proprietate privata, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Mures, 117925 LIVEZENI, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 3
Ambulatorii de specialitate, Proprietate publica, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 2
Ambulatorii de specialitate, Proprietate privata, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 7
Ambulatorii de specialitate, Proprietate privata, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 3
Ambulatorii integrate spitalului, Proprietate publica, Mures, 114809 MUNICIPIUL REGHIN, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Mures, 114710 ORAS LUDUS, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Mures, 114854 ORAS SOVATA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Mures, 114809 MUNICIPIUL REGHIN, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Mures, 114710 ORAS LUDUS, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 2
Unitati medico-sociale, Proprietate publica, Mures, 116545 DEDA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 70
Centre medicale de specialitate, Proprietate privata, Mures, 114809 MUNICIPIUL REGHIN, Anul 2024, Numar, 6
Centre medicale de specialitate, Proprietate privata, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2024, Numar, 3
Centre medicale de specialitate, Proprietate privata, Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2024, Numar, 2
Centre medicale de specialitate, Proprietate privata, Mures, 117827 ORAS IERNUT, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Mures, 114710 ORAS LUDUS, Anul 2024, Numar, 2
Centre medicale de specialitate, Proprietate privata, Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Mures, 120487 CORUNCA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Mures, 114382 SANCRAIU DE MURES, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Mures, 114417 SANGEORGIU DE MURES, Anul 2024, Numar, 3
Puncte de lucru ale centrelor de dializa, Proprietate privata, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Mures, 114417 SANGEORGIU DE MURES, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 50
Cabinete medicale scolare, Proprietate publica, Mures, 114809 MUNICIPIUL REGHIN, Anul 2024, Numar, 11
Cabinete medicale scolare, Proprietate publica, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2024, Numar, 11
Cabinete medicale scolare, Proprietate publica, Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2024, Numar, 10
Cabinete medicale scolare, Proprietate publica, Mures, 117827 ORAS IERNUT, Anul 2024, Numar, 2
Cabinete medicale scolare, Proprietate publica, Mures, 114710 ORAS LUDUS, Anul 2024, Numar, 7
Cabinete medicale scolare, Proprietate publica, Mures, 117319 GURGHIU, Anul 2024, Numar, 1
Cabinete medicale studentesti, Proprietate publica, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2024, Numar, 88
Cabinete medicale de familie, Proprietate privata, Mures, 114809 MUNICIPIUL REGHIN, Anul 2024, Numar, 18
Cabinete medicale de familie, Proprietate privata, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2024, Numar, 13
Cabinete medicale de familie, Proprietate privata, Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2024, Numar, 11
Cabinete medicale de familie, Proprietate privata, Mures, 117827 ORAS IERNUT, Anul 2024, Numar, 5
Cabinete medicale de familie, Proprietate privata, Mures, 114710 ORAS LUDUS, Anul 2024, Numar, 7
Cabinete medicale de familie, Proprietate privata, Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Mures, 119242 ORAS SARMASU, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Mures, 114854 ORAS SOVATA, Anul 2024, Numar, 5
Cabinete medicale de familie, Proprietate privata, Mures, 119894 ORAS UNGHENI, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Mures, 114970 ACATARI, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Mures, 115076 ADAMUS, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mures, 114603 ALBESTI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Mures, 115147 ALUNIS, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Mures, 115183 APOLD, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mures, 115236 ATINTIS, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mures, 115575 BAGACIU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mures, 115307 BAHNEA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mures, 115637 BALAUSERI, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Mures, 115389 BAND, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Mures, 115520 BATOS, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Mures, 115824 BOGATA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mures, 115897 BRANCOVENESTI, Anul 2024, Numar, 2
