Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2024, Numar, 1
Spitale, Proprietate publica, Neamt, 120860 MUNICIPIUL ROMAN, Anul 2024, Numar, 2
Spitale, Proprietate publica, Neamt, 120968 ORAS BICAZ, Anul 2024, Numar, 1
Spitale, Proprietate publica, Neamt, 121055 ORAS TARGU NEAMT, Anul 2024, Numar, 1
Spitale, Proprietate publica, Neamt, 124938 ALEXANDRU CEL BUN, Anul 2024, Numar, 1
Spitale, Proprietate privata, Neamt, 121055 ORAS TARGU NEAMT, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2024, Numar, 4
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Neamt, 124938 ALEXANDRU CEL BUN, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Neamt, 121796 BOTESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Neamt, 120860 MUNICIPIUL ROMAN, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Neamt, 120968 ORAS BICAZ, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Neamt, 121055 ORAS TARGU NEAMT, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Neamt, 120860 MUNICIPIUL ROMAN, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Neamt, 120968 ORAS BICAZ, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Neamt, 121055 ORAS TARGU NEAMT, Anul 2024, Numar, 0
Dispensare medicale, Proprietate publica, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Neamt, 120860 MUNICIPIUL ROMAN, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Neamt, 121055 ORAS TARGU NEAMT, Anul 2024, Numar, 1
Dispensare medicale, Proprietate privata, Neamt, 121055 ORAS TARGU NEAMT, Anul 2024, Numar, 0
Centre de sanatate mintala, Proprietate publica, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Neamt, 120860 MUNICIPIUL ROMAN, Anul 2024, Numar, 1
Sanatorii balneare, Proprietate publica, Neamt, 121242 BALTATESTI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Neamt, 122025 CEAHLAU, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2024, Numar, 1
Centre de dializa, Proprietate privata, Neamt, 121055 ORAS TARGU NEAMT, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Neamt, 120860 MUNICIPIUL ROMAN, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2024, Numar, 19
Cabinete medicale de medicina generala, Proprietate privata, Neamt, 120860 MUNICIPIUL ROMAN, Anul 2024, Numar, 7
Cabinete medicale de medicina generala, Proprietate privata, Neamt, 120968 ORAS BICAZ, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Neamt, 124117 ORAS ROZNOV, Anul 2024, Numar, 1
