Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Olt, 125347 MUNICIPIUL SLATINA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Olt, 125472 MUNICIPIUL CARACAL, Anul 2024, Numar, 1
Spitale, Proprietate publica, Olt, 125418 ORAS BALS, Anul 2024, Numar, 1
Spitale, Proprietate publica, Olt, 125542 ORAS CORABIA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Olt, 128659 SCHITU, Anul 2024, Numar, 1
Spitale, Proprietate privata, Olt, 128105 ORAS PIATRA-OLT, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Olt, 125347 MUNICIPIUL SLATINA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Olt, 125347 MUNICIPIUL SLATINA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Olt, 125472 MUNICIPIUL CARACAL, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Olt, 125418 ORAS BALS, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Olt, 125542 ORAS CORABIA, Anul 2024, Numar, 1
Policlinici, Proprietate privata, Olt, 125347 MUNICIPIUL SLATINA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Olt, 125347 MUNICIPIUL SLATINA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Olt, 125472 MUNICIPIUL CARACAL, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Olt, 125418 ORAS BALS, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Olt, 125542 ORAS CORABIA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Olt, 125622 ORAS DRAGANESTI-OLT, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Olt, 128711 ORAS SCORNICESTI, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Olt, 125347 MUNICIPIUL SLATINA, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Olt, 125472 MUNICIPIUL CARACAL, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Olt, 125542 ORAS CORABIA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Olt, 125347 MUNICIPIUL SLATINA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Olt, 125347 MUNICIPIUL SLATINA, Anul 2024, Numar, 3
Cabinete medicale de medicina generala, Proprietate privata, Olt, 125472 MUNICIPIUL CARACAL, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Olt, 125542 ORAS CORABIA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Olt, 125347 MUNICIPIUL SLATINA, Anul 2024, Numar, 22
Cabinete medicale scolare, Proprietate publica, Olt, 125472 MUNICIPIUL CARACAL, Anul 2024, Numar, 3
Cabinete medicale scolare, Proprietate publica, Olt, 125418 ORAS BALS, Anul 2024, Numar, 5
Cabinete medicale scolare, Proprietate publica, Olt, 125542 ORAS CORABIA, Anul 2024, Numar, 2
Cabinete medicale scolare, Proprietate publica, Olt, 125622 ORAS DRAGANESTI-OLT, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Olt, 128105 ORAS PIATRA-OLT, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Olt, 128374 ORAS POTCOAVA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Olt, 128711 ORAS SCORNICESTI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Olt, 125347 MUNICIPIUL SLATINA, Anul 2024, Numar, 43
Cabinete medicale de familie, Proprietate privata, Olt, 125472 MUNICIPIUL CARACAL, Anul 2024, Numar, 21
Cabinete medicale de familie, Proprietate privata, Olt, 125418 ORAS BALS, Anul 2024, Numar, 11
Cabinete medicale de familie, Proprietate privata, Olt, 125542 ORAS CORABIA, Anul 2024, Numar, 8
Cabinete medicale de familie, Proprietate privata, Olt, 125622 ORAS DRAGANESTI-OLT, Anul 2024, Numar, 5
Cabinete medicale de familie, Proprietate privata, Olt, 128105 ORAS PIATRA-OLT, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Olt, 128374 ORAS POTCOAVA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Olt, 128711 ORAS SCORNICESTI, Anul 2024, Numar, 5
Cabinete medicale de familie, Proprietate privata, Olt, 125659 BABICIU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Olt, 125677 BALDOVINESTI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Olt, 130286 BALTENI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Olt, 125757 BARASTI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Olt, 125846 BARZA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Olt, 125873 BOBICESTI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 126022 BRANCOVENI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 125962 BRASTAVATU, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 125999 BREBENI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Olt, 126077 BUCINISU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Olt, 130295 CALUI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Olt, 126166 CARLOGANI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Olt, 126102 CEZIENI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 126148 CILIENI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 126228 COLONESTI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 126326 CORBU, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 126380 COTEANA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 126406 CRAMPOIA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 126503 CUNGREA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 126433 CURTISOARA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 126585 DANEASA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 126647 DEVESELU, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Olt, 126674 DOBRETU, Anul 2024, Numar, 1
