Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 1
Spitale, Proprietate publica, Salaj, 139811 ORAS JIBOU, Anul 2024, Numar, 1
Spitale, Proprietate publica, Salaj, 139884 ORAS SIMLEU SILVANIEI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Salaj, 140627 CRASNA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Salaj, 139811 ORAS JIBOU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Salaj, 139884 ORAS SIMLEU SILVANIEI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Salaj, 140627 CRASNA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Salaj, 139811 ORAS JIBOU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Salaj, 139884 ORAS SIMLEU SILVANIEI, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Salaj, 141580 ILEANDA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 13
Centre medicale de specialitate, Proprietate privata, Salaj, 139811 ORAS JIBOU, Anul 2024, Numar, 2
Puncte de lucru ale centrelor de dializa, Proprietate privata, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Salaj, 140280 BOBOTA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 3
Cabinete medicale scolare, Proprietate publica, Salaj, 139740 ORAS CEHU SILVANIEI, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Salaj, 139811 ORAS JIBOU, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Salaj, 139884 ORAS SIMLEU SILVANIEI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 27
Cabinete medicale de familie, Proprietate privata, Salaj, 139740 ORAS CEHU SILVANIEI, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Salaj, 139811 ORAS JIBOU, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Salaj, 139884 ORAS SIMLEU SILVANIEI, Anul 2024, Numar, 8
Cabinete medicale de familie, Proprietate privata, Salaj, 139937 AGRIJ, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 139982 ALMASU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 140084 BABENI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 140146 BALAN, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 140280 BOBOTA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Salaj, 140324 BOCSA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 180037 BOGHIS, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 140379 BUCIUMI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 140477 CARASTELEC, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 140501 CHIESD, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 140547 CIZER, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 140627 CRASNA, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Salaj, 140672 CREACA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 140770 CRISTOLT, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 140869 CUZAPLAC, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 140958 DOBRIN, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 141027 DRAGU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 141134 GALGAU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 141232 GARBOU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 141312 HALMASD, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 141376 HERECLEAN, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Salaj, 141447 HIDA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 141535 HOROATU CRASNEI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 141580 ILEANDA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 141722 IP, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 141786 LETCA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142006 MAERISTE, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 141946 MARCA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142079 MESESENII DE JOS, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142122 MIRSID, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142177 NAPRADEA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142239 NUSFALAU, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Salaj, 142284 PERICEI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Salaj, 142337 PLOPIS, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142612 SAG, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142550 SALATIG, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142676 SANMIHAIU ALMASULUI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142881 SARMASAG, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Salaj, 179695 SIMISNA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142710 SOMES-ODORHEI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142774 SURDUC, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 142952 VALCAU DE JOS, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 143021 VARSOLT, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Salaj, 143147 ZIMBOR, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2024, Numar, 91
Cabinete stomatologice, Proprietate privata, Salaj, 139740 ORAS CEHU SILVANIEI, Anul 2024, Numar, 6
Cabinete stomatologice, Proprietate privata, Salaj, 139811 ORAS JIBOU, Anul 2024, Numar, 11
Cabinete stomatologice, Proprietate privata, Salaj, 139884 ORAS SIMLEU SILVANIEI, Anul 2024, Numar, 14
Cabinete stomatologice, Proprietate privata, Salaj, 139982 ALMASU, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Salaj, 140280 BOBOTA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Salaj, 140324 BOCSA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Salaj, 180037 BOGHIS, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Salaj, 140440 CAMAR, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Salaj, 140477 CARASTELEC, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Salaj, 140501 CHIESD, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Salaj, 140547 CIZER, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Salaj, 140627 CRASNA, Anul 2024, Numar, 4
Cabinete stomatologice, Proprietate privata, Salaj, 140672 CREACA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Salaj, 140869 CUZAPLAC, Anul 2024, Numar, 3
Cabinete stomatologice, Proprietate privata, Salaj, 141081 FILDU DE JOS, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Salaj, 141134 GALGAU, Anul 2024, Numar, 3
Cabinete stomatologice, Proprietate privata, Salaj, 141232 GARBOU, Anul 2024, Numar, 1
