Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 2
Spitale, Proprietate publica, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2024, Numar, 1
Spitale, Proprietate privata, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 3
Ambulatorii de specialitate, Proprietate publica, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2024, Numar, 0
Dispensare medicale, Proprietate publica, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 3
Dispensare medicale, Proprietate publica, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate privata, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 0
Centre de sanatate mintala, Proprietate publica, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 0
Puncte de lucru ale centrelor de dializa, Proprietate privata, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate publica, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate privata, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 4
Cabinete medicale de medicina generala, Proprietate privata, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2024, Numar, 2
Cabinete medicale scolare, Proprietate publica, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 9
Cabinete medicale scolare, Proprietate publica, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2024, Numar, 2
Cabinete medicale scolare, Proprietate publica, Satu Mare, 136848 ORAS ARDUD, Anul 2024, Numar, 0
Cabinete medicale scolare, Proprietate publica, Satu Mare, 138039 ORAS LIVADA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2024, Numar, 6
Cabinete medicale scolare, Proprietate publica, Satu Mare, 136642 ORAS TASNAD, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Satu Mare, 139170 TURT, Anul 2024, Numar, 1
Cabinete medicale studentesti, Proprietate publica, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate publica, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Satu Mare, 136848 ORAS ARDUD, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Satu Mare, 138039 ORAS LIVADA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Satu Mare, 136642 ORAS TASNAD, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Satu Mare, 138538 PIR, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Satu Mare, 180028 PORUMBESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Satu Mare, 180091 RACSA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Satu Mare, 138663 SANISLAU, Anul 2024, Numar, 0
