Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Suceava, 146502 MUNICIPIUL CAMPULUNG MOLDOVENESC, Anul 2024, Numar, 2
Spitale, Proprietate publica, Suceava, 146539 MUNICIPIUL FALTICENI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Suceava, 146628 MUNICIPIUL RADAUTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Suceava, 146744 MUNICIPIUL VATRA DORNEI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Suceava, 146584 ORAS GURA HUMORULUI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Suceava, 146655 ORAS SIRET, Anul 2024, Numar, 2
Spitale, Proprietate publica, Suceava, 150766 VADU MOLDOVEI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 2
Spitale, Proprietate privata, Suceava, 147660 ILISESTI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Suceava, 150418 SUCEVITA, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 2
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Suceava, 146281 IPOTESTI, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Suceava, 146432 SCHEIA, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Suceava, 146502 MUNICIPIUL CAMPULUNG MOLDOVENESC, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Suceava, 146539 MUNICIPIUL FALTICENI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Suceava, 146628 MUNICIPIUL RADAUTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Suceava, 146744 MUNICIPIUL VATRA DORNEI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Suceava, 146584 ORAS GURA HUMORULUI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Suceava, 146655 ORAS SIRET, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Suceava, 146502 MUNICIPIUL CAMPULUNG MOLDOVENESC, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Suceava, 146539 MUNICIPIUL FALTICENI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Suceava, 146628 MUNICIPIUL RADAUTI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Suceava, 146744 MUNICIPIUL VATRA DORNEI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Suceava, 146584 ORAS GURA HUMORULUI, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Suceava, 146502 MUNICIPIUL CAMPULUNG MOLDOVENESC, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Suceava, 146628 MUNICIPIUL RADAUTI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Suceava, 147358 ORAS BROSTENI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Suceava, 151095 ORAS VICOVU DE SUS, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Suceava, 148426 DUMBRAVENI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Suceava, 149316 MALINI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Suceava, 151344 ZVORISTEA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 2
Puncte de lucru ale centrelor de dializa, Proprietate privata, Suceava, 146628 MUNICIPIUL RADAUTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 9
Cabinete medicale de medicina generala, Proprietate privata, Suceava, 146502 MUNICIPIUL CAMPULUNG MOLDOVENESC, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Suceava, 146539 MUNICIPIUL FALTICENI, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Suceava, 146628 MUNICIPIUL RADAUTI, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Suceava, 147134 BOSANCI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Suceava, 146281 IPOTESTI, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 33
Cabinete medicale scolare, Proprietate publica, Suceava, 146502 MUNICIPIUL CAMPULUNG MOLDOVENESC, Anul 2024, Numar, 2
Cabinete medicale scolare, Proprietate publica, Suceava, 146539 MUNICIPIUL FALTICENI, Anul 2024, Numar, 12
Cabinete medicale scolare, Proprietate publica, Suceava, 146628 MUNICIPIUL RADAUTI, Anul 2024, Numar, 13
Cabinete medicale scolare, Proprietate publica, Suceava, 146744 MUNICIPIUL VATRA DORNEI, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Suceava, 148612 ORAS FRASIN, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Suceava, 146584 ORAS GURA HUMORULUI, Anul 2024, Numar, 4
Cabinete medicale scolare, Proprietate publica, Suceava, 146655 ORAS SIRET, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Suceava, 146708 ORAS SOLCA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Suceava, 151451 CIOCANESTI, Anul 2024, Numar, 1
Cabinete medicale studentesti, Proprietate publica, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2024, Numar, 55
Cabinete medicale de familie, Proprietate privata, Suceava, 146502 MUNICIPIUL CAMPULUNG MOLDOVENESC, Anul 2024, Numar, 9
Cabinete medicale de familie, Proprietate privata, Suceava, 146539 MUNICIPIUL FALTICENI, Anul 2024, Numar, 16
Cabinete medicale de familie, Proprietate privata, Suceava, 146628 MUNICIPIUL RADAUTI, Anul 2024, Numar, 12
Cabinete medicale de familie, Proprietate privata, Suceava, 146744 MUNICIPIUL VATRA DORNEI, Anul 2024, Numar, 12
Cabinete medicale de familie, Proprietate privata, Suceava, 147358 ORAS BROSTENI, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Suceava, 147633 ORAS CAJVANA, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Suceava, 148006 ORAS DOLHASCA, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Suceava, 148612 ORAS FRASIN, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Suceava, 146584 ORAS GURA HUMORULUI, Anul 2024, Numar, 7
Cabinete medicale de familie, Proprietate privata, Suceava, 149227 ORAS LITENI, Anul 2024, Numar, 3
