Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Tulcea, 159687 ORAS ISACCEA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Tulcea, 159730 ORAS MACIN, Anul 2024, Numar, 1
Spitale, Proprietate privata, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Tulcea, 159730 ORAS MACIN, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Tulcea, 159730 ORAS MACIN, Anul 2024, Numar, 0
Dispensare medicale, Proprietate publica, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 2
Dispensare medicale, Proprietate publica, Tulcea, 159730 ORAS MACIN, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Tulcea, 160172 CHILIA VECHE, Anul 2024, Numar, 1
Dispensare medicale, Proprietate privata, Tulcea, 159730 ORAS MACIN, Anul 2024, Numar, 0
Dispensare medicale, Proprietate privata, Tulcea, 160172 CHILIA VECHE, Anul 2024, Numar, 0
Centre de sanatate mintala, Proprietate publica, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 1
Centre de dializa, Proprietate publica, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2024, Numar, 6
Cabinete medicale scolare, Proprietate publica, Tulcea, 159650 ORAS BABADAG, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Tulcea, 159687 ORAS ISACCEA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Tulcea, 159730 ORAS MACIN, Anul 2024, Numar, 5
Cabinete medicale scolare, Proprietate publica, Tulcea, 159767 ORAS SULINA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Tulcea, 161384 TOPOLOG, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate publica, Tulcea, 159687 ORAS ISACCEA, Anul 2024, Numar, 0
