Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Valcea, 167981 MUNICIPIUL DRAGASANI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Valcea, 167794 ORAS BREZOI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Valcea, 168041 ORAS HOREZU, Anul 2024, Numar, 1
Spitale, Proprietate publica, Valcea, 169547 DRAGOESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Valcea, 171325 MIHAESTI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 4
Spitale, Proprietate privata, Valcea, 167909 ORAS CALIMANESTI, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 4
Ambulatorii integrate spitalului, Proprietate publica, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Valcea, 167981 MUNICIPIUL DRAGASANI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Valcea, 167794 ORAS BREZOI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Valcea, 168041 ORAS HOREZU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Valcea, 169547 DRAGOESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Valcea, 171325 MIHAESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 2
Dispensare medicale, Proprietate publica, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Valcea, 168452 ORAS BALCESTI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Valcea, 168041 ORAS HOREZU, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 1
Sanatorii balneare, Proprietate privata, Valcea, 167696 ORAS BAILE OLANESTI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Valcea, 170685 LADESTI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 0
Puncte de lucru ale centrelor de dializa, Proprietate privata, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 65
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 167981 MUNICIPIUL DRAGASANI, Anul 2024, Numar, 5
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 168372 ORAS BABENI, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 167696 ORAS BAILE OLANESTI, Anul 2024, Numar, 3
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 168452 ORAS BALCESTI, Anul 2024, Numar, 4
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 168602 ORAS BERBESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 167794 ORAS BREZOI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 168130 ORAS OCNELE MARI, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 168559 BARBATESTI, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 168675 BERISLAVESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 168880 BUJORENI, Anul 2024, Numar, 3
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 169039 CERNISOARA, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 169583 FAURESTI, Anul 2024, Numar, 3
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 169896 FRANCESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 169994 GALICEA, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 170097 GHIOROIU, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 170685 LADESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 170612 LALOSU, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 170872 LIVEZI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 171101 MACIUCA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 171325 MIHAESTI, Anul 2024, Numar, 4
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 171628 NICOLAE BALCESCU, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 171879 ORLESTI, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 172082 PAUSESTI-MAGLASI, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 172377 POPESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 173686 SIRINEASA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 173793 SUSANI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 174156 VLADESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Valcea, 174254 VOINEASA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 17
Cabinete medicale de familie, Proprietate privata, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2024, Numar, 56
Cabinete medicale de familie, Proprietate privata, Valcea, 167981 MUNICIPIUL DRAGASANI, Anul 2024, Numar, 11
Cabinete medicale de familie, Proprietate privata, Valcea, 168372 ORAS BABENI, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Valcea, 167641 ORAS BAILE GOVORA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Valcea, 167696 ORAS BAILE OLANESTI, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Valcea, 168452 ORAS BALCESTI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Valcea, 168602 ORAS BERBESTI, Anul 2024, Numar, 2
