Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 2
Spitale, Proprietate publica, Vrancea, 174860 MUNICIPIUL ADJUD, Anul 2024, Numar, 1
Spitale, Proprietate publica, Vrancea, 175055 ORAS PANCIU, Anul 2024, Numar, 1
Spitale, Proprietate publica, Vrancea, 175938 DUMBRAVENI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Vrancea, 178377 VIDRA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Vrancea, 174922 ORAS MARASESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Vrancea, 174860 MUNICIPIUL ADJUD, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Vrancea, 175055 ORAS PANCIU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Vrancea, 178377 VIDRA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Vrancea, 174860 MUNICIPIUL ADJUD, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Vrancea, 175055 ORAS PANCIU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Vrancea, 178377 VIDRA, Anul 2024, Numar, 1
Centre de sanatate, Proprietate publica, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 2
Puncte de lucru ale centrelor de dializa, Proprietate privata, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 4
Cabinete medicale scolare, Proprietate publica, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 31
Cabinete medicale scolare, Proprietate publica, Vrancea, 174860 MUNICIPIUL ADJUD, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Vrancea, 175055 ORAS PANCIU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2024, Numar, 35
Cabinete medicale de familie, Proprietate privata, Vrancea, 174860 MUNICIPIUL ADJUD, Anul 2024, Numar, 7
Cabinete medicale de familie, Proprietate privata, Vrancea, 174922 ORAS MARASESTI, Anul 2024, Numar, 4
